Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
757051,"7,879,123,475","1,313,025,621",1100,"7,879,123,475","1,313,025,621"
757056,"7,879,123,475","1,314,525,621",1100,"7,879,123,475","1,314,525,621"
757061,"7,879,123,475","1,316,025,621",1100,"7,879,123,475","1,316,025,621"
757066,"7,829,514,335","1,310,027,575",1100,"7,829,514,335","1,310,027,575"
757071,"7,886,041,091","1,310,025,621",1100,"7,886,041,091","1,310,025,621"
757076,"7,886,041,091","1,311,525,621",1100,"7,886,041,091","1,311,525,621"
757081,"7,886,041,091","1,313,025,621",1100,"7,886,041,091","1,313,025,621"
757086,"7,886,041,091","1,314,525,621",1100,"7,886,041,091","1,314,525,621"
757091,"7,886,041,091","1,316,025,621",1100,"7,886,041,091","1,316,025,621"
757096,"7,836,431,951","1,310,027,575",1100,"7,836,431,951","1,310,027,575"
757103,"7,829,514,335","1,317,505,621",1100,"7,829,514,335","1,317,505,621"
757108,"7,929,123,475","1,317,535,621",1100,"7,929,123,475","1,317,535,621"
757113,"7,879,123,475","1,317,525,621",1100,"7,879,123,475","1,317,525,621"
757118,"7,331,262,879","1,313,943,525",1100,"7,331,262,879","1,313,943,525"
757123,"7,331,262,879","1,312,443,525",1100,"7,331,262,879","1,312,443,525"
757128,"7,331,262,879","1,310,943,525",1100,"7,331,262,879","1,310,943,525"
757133,"7,836,431,951","1,317,505,621",1100,"7,836,431,951","1,317,505,621"
757138,"7,936,041,091","1,317,535,621",1100,"7,936,041,091","1,317,535,621"
757143,"7,886,041,091","1,317,525,621",1100,"7,886,041,091","1,317,525,621"
757148,"7,324,345,263","1,313,943,525",1100,"7,324,345,263","1,313,943,525"
757153,"7,324,345,263","1,312,443,525",1100,"7,324,345,263","1,312,443,525"
757158,"7,324,345,263","1,310,943,525",1100,"7,324,345,263","1,310,943,525"
757163,"7,929,123,475","1,310,025,621",1100,"7,929,123,475","1,310,025,621"
757168,"7,929,123,475","1,311,525,621",1100,"7,929,123,475","1,311,525,621"
757173,"7,929,123,475","1,313,025,621",1100,"7,929,123,475","1,313,025,621"
757178,"7,929,123,475","1,314,525,621",1100,"7,929,123,475","1,314,525,621"
757183,"7,929,123,475","1,316,025,621",1100,"7,929,123,475","1,316,025,621"
757188,"7,829,514,335","1,316,005,621",1100,"7,829,514,335","1,316,005,621"
757193,"7,936,041,091","1,310,025,621",1100,"7,936,041,091","1,310,025,621"
757198,"7,936,041,091","1,311,525,621",1100,"7,936,041,091","1,311,525,621"
757203,"7,936,041,091","1,313,025,621",1100,"7,936,041,091","1,313,025,621"
757208,"7,936,041,091","1,314,525,621",1100,"7,936,041,091","1,314,525,621"
757213,"7,936,041,091","1,316,025,621",1100,"7,936,041,091","1,316,025,621"
757218,"7,836,431,951","1,316,005,621",1100,"7,836,431,951","1,316,005,621"
757728,"6,732,531,322","1352044,22",0,"6,732,531,322","1352044,22"
757729,"6,732,531,322","1,353,157,426",0,"6,732,531,322","1,353,157,426"
757730,"674,454,569","1352044,22",0,"674,454,569","1352044,22"
757731,"674,454,569","1,353,157,426",0,"674,454,569","1,353,157,426"
757798,"6,736,974,885","1,336,202,804",1100,"6,736,974,885","1,336,202,804"
757803,"6,736,974,885","1,334,702,804",1100,"6,736,974,885","1,334,702,804"
757808,"6,736,974,885","1,333,202,804",1100,"6,736,974,885","1,333,202,804"
757813,"6,736,974,885","1,331,702,804",1100,"6,736,974,885","1,331,702,804"
757818,"6,736,974,885","1,330,202,804",1100,"6,736,974,885","1,330,202,804"
757823,"6,736,974,885","1,328,702,804",1100,"6,736,974,885","1,328,702,804"
757828,"6,730,057,269","1,336,202,804",1100,"6,730,057,269","1,336,202,804"
757833,"6,730,057,269","1,334,702,804",1100,"6,730,057,269","1,334,702,804"
757838,"6,730,057,269","1,333,202,804",1100,"6,730,057,269","1,333,202,804"
